District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age Group,Gender,Population under 16 years of age living with,Number
 Morang,,,,,,   05 - 09 Years,  Male,Father and step mother,98
 Morang,,,,,,   05 - 09 Years,  Male,Mother and step father,24
 Morang,,,,,,   05 - 09 Years,  Male,Other relatives,336
 Morang,,,,,,   05 - 09 Years,  Male,Employer,16
 Morang,,,,,,   05 - 09 Years,  Male,Others,960
 Morang,,,,,,   05 - 09 Years,  Male,Not stated,321
 Morang,,,,,,   10 - 15 Years,  Male,Parents,59372
 Morang,,,,,,   10 - 15 Years,  Male,Mother,6059
 Morang,,,,,,   10 - 15 Years,  Male,Father,674
 Morang,,,,,,   10 - 15 Years,  Male,Father and step mother,249
 Morang,,,,,,   10 - 15 Years,  Male,Mother and step father,32
 Morang,,,,,,   10 - 15 Years,  Male,Other relatives,728
 Morang,,,,,,   10 - 15 Years,  Male,Employer,239
 Morang,,,,,,   10 - 15 Years,  Male,Others,2101
 Morang,,,,,,   10 - 15 Years,  Male,Not stated,433
 Morang,,,,,,   Under 1 Year,  Female,Parents,7251
 Morang,,,,,,   Under 1 Year,  Female,Mother,489
 Morang,,,,,,   Under 1 Year,  Female,Father,24
 Morang,,,,,,   Under 1 Year,  Female,Father and step mother,8
 Morang,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Morang,,,,,,   Under 1 Year,  Female,Other relatives,8
 Morang,,,,,,   Under 1 Year,  Female,Employer,16
 Morang,,,,,,   Under 1 Year,  Female,Others,48
 Morang,,,,,,   Under 1 Year,  Female,Not stated,162
 Morang,,,,,,   01 - 04 Years,  Female,Parents,30835
 Morang,,,,,,   01 - 04 Years,  Female,Mother,2171
 Morang,,,,,,   01 - 04 Years,  Female,Father,108
 Morang,,,,,,   01 - 04 Years,  Female,Father and step mother,16
 Morang,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Morang,,,,,,   01 - 04 Years,  Female,Other relatives,117
 Morang,,,,,,   01 - 04 Years,  Female,Employer,17
 Morang,,,,,,   01 - 04 Years,  Female,Others,233
 Morang,,,,,,   01 - 04 Years,  Female,Not stated,207
 Morang,,,,,,   05 - 09 Years,  Female,Parents,44648
 Morang,,,,,,   05 - 09 Years,  Female,Mother,3816
 Morang,,,,,,   05 - 09 Years,  Female,Father,372
 Morang,,,,,,   05 - 09 Years,  Female,Father and step mother,137
 Morang,,,,,,   05 - 09 Years,  Female,Mother and step father,8
 Morang,,,,,,   05 - 09 Years,  Female,Other relatives,347
 Morang,,,,,,   05 - 09 Years,  Female,Employer,24
 Morang,,,,,,   05 - 09 Years,  Female,Others,994
 Morang,,,,,,   05 - 09 Years,  Female,Not stated,194
 Morang,,,,,,   10 - 15 Years,  Female,Parents,57287
 Morang,,,,,,   10 - 15 Years,  Female,Mother,5946
 Morang,,,,,,   10 - 15 Years,  Female,Father,775
 Morang,,,,,,   10 - 15 Years,  Female,Father and step mother,213
 Morang,,,,,,   10 - 15 Years,  Female,Mother and step father,32
 Morang,,,,,,   10 - 15 Years,  Female,Other relatives,825
 Morang,,,,,,   10 - 15 Years,  Female,Employer,145
 Morang,,,,,,   10 - 15 Years,  Female,Others,2044
 Morang,,,,,,   10 - 15 Years,  Female,Not stated,588
 Sunsari,,,,,,   Under 1 Year,  Male,Parents,5859
 Sunsari,,,,,,   Under 1 Year,  Male,Mother,333
 Sunsari,,,,,,   Under 1 Year,  Male,Father,9
 Sunsari,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Sunsari,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Sunsari,,,,,,   Under 1 Year,  Male,Other relatives,7
 Sunsari,,,,,,   Under 1 Year,  Male,Employer,0
 Sunsari,,,,,,   Under 1 Year,  Male,Others,53
 Sunsari,,,,,,   Under 1 Year,  Male,Not stated,80
 Sunsari,,,,,,   01 - 04 Years,  Male,Parents,26065
 Sunsari,,,,,,   01 - 04 Years,  Male,Mother,1536
 Sunsari,,,,,,   01 - 04 Years,  Male,Father,106
 Sunsari,,,,,,   01 - 04 Years,  Male,Father and step mother,16
 Sunsari,,,,,,   01 - 04 Years,  Male,Mother and step father,1
 Sunsari,,,,,,   01 - 04 Years,  Male,Other relatives,84
 Sunsari,,,,,,   01 - 04 Years,  Male,Employer,0
 Sunsari,,,,,,   01 - 04 Years,  Male,Others,287
 Sunsari,,,,,,   01 - 04 Years,  Male,Not stated,178
 Sunsari,,,,,,   05 - 09 Years,  Male,Parents,39407
 Sunsari,,,,,,   05 - 09 Years,  Male,Mother,3042
 Sunsari,,,,,,   05 - 09 Years,  Male,Father,361
 Sunsari,,,,,,   05 - 09 Years,  Male,Father and step mother,51
 Sunsari,,,,,,   05 - 09 Years,  Male,Mother and step father,17
 Sunsari,,,,,,   05 - 09 Years,  Male,Other relatives,251
 Sunsari,,,,,,   05 - 09 Years,  Male,Employer,0
 Sunsari,,,,,,   05 - 09 Years,  Male,Others,770
 Sunsari,,,,,,   05 - 09 Years,  Male,Not stated,96
 Sunsari,,,,,,   10 - 15 Years,  Male,Parents,49470
 Sunsari,,,,,,   10 - 15 Years,  Male,Mother,4216
 Sunsari,,,,,,   10 - 15 Years,  Male,Father,459
 Sunsari,,,,,,   10 - 15 Years,  Male,Father and step mother,211
 Sunsari,,,,,,   10 - 15 Years,  Male,Mother and step father,41
 Sunsari,,,,,,   10 - 15 Years,  Male,Other relatives,604
 Sunsari,,,,,,   10 - 15 Years,  Male,Employer,102
 Sunsari,,,,,,   10 - 15 Years,  Male,Others,1536
 Sunsari,,,,,,   10 - 15 Years,  Male,Not stated,314
 Sunsari,,,,,,   Under 1 Year,  Female,Parents,5739
 Sunsari,,,,,,   Under 1 Year,  Female,Mother,317
 Sunsari,,,,,,   Under 1 Year,  Female,Father,0
 Sunsari,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Sunsari,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Sunsari,,,,,,   Under 1 Year,  Female,Other relatives,8
 Sunsari,,,,,,   Under 1 Year,  Female,Employer,0
 Sunsari,,,,,,   Under 1 Year,  Female,Others,20
 Sunsari,,,,,,   Under 1 Year,  Female,Not stated,35
 Sunsari,,,,,,   01 - 04 Years,  Female,Parents,25089
 Sunsari,,,,,,   01 - 04 Years,  Female,Mother,1504
 Sunsari,,,,,,   01 - 04 Years,  Female,Father,68
 Sunsari,,,,,,   01 - 04 Years,  Female,Father and step mother,34
 Sunsari,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Sunsari,,,,,,   01 - 04 Years,  Female,Other relatives,80
 Sunsari,,,,,,   01 - 04 Years,  Female,Employer,0
 Sunsari,,,,,,   01 - 04 Years,  Female,Others,352
 Sunsari,,,,,,   01 - 04 Years,  Female,Not stated,154
 Sunsari,,,,,,   05 - 09 Years,  Female,Parents,38018
 Sunsari,,,,,,   05 - 09 Years,  Female,Mother,2648
 Sunsari,,,,,,   05 - 09 Years,  Female,Father,245
 Sunsari,,,,,,   05 - 09 Years,  Female,Father and step mother,85
 Sunsari,,,,,,   05 - 09 Years,  Female,Mother and step father,9
 Sunsari,,,,,,   05 - 09 Years,  Female,Other relatives,284
 Sunsari,,,,,,   05 - 09 Years,  Female,Employer,2
 Sunsari,,,,,,   05 - 09 Years,  Female,Others,660
 Sunsari,,,,,,   05 - 09 Years,  Female,Not stated,93
 Sunsari,,,,,,   10 - 15 Years,  Female,Parents,47638
 Sunsari,,,,,,   10 - 15 Years,  Female,Mother,4235
 Sunsari,,,,,,   10 - 15 Years,  Female,Father,522
 Sunsari,,,,,,   10 - 15 Years,  Female,Father and step mother,87
 Sunsari,,,,,,   10 - 15 Years,  Female,Mother and step father,51
 Sunsari,,,,,,   10 - 15 Years,  Female,Other relatives,646
 Sunsari,,,,,,   10 - 15 Years,  Female,Employer,149
 Sunsari,,,,,,   10 - 15 Years,  Female,Others,1474
 Sunsari,,,,,,   10 - 15 Years,  Female,Not stated,437
 Dhankuta,,,,,,   Under 1 Year,  Male,Parents,1285
 Dhankuta,,,,,,   Under 1 Year,  Male,Mother,161
 Dhankuta,,,,,,   Under 1 Year,  Male,Father,0
 Dhankuta,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Dhankuta,,,,,,   Under 1 Year,  Male,Mother and step father,7
 Dhankuta,,,,,,   Under 1 Year,  Male,Other relatives,7
 Dhankuta,,,,,,   Under 1 Year,  Male,Employer,0
 Dhankuta,,,,,,   Under 1 Year,  Male,Others,2
 Dhankuta,,,,,,   Under 1 Year,  Male,Not stated,19
 Dhankuta,,,,,,   01 - 04 Years,  Male,Parents,4800
 Dhankuta,,,,,,   01 - 04 Years,  Male,Mother,890
 Dhankuta,,,,,,   01 - 04 Years,  Male,Father,31
 Dhankuta,,,,,,   01 - 04 Years,  Male,Father and step mother,25
 Dhankuta,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Dhankuta,,,,,,   01 - 04 Years,  Male,Other relatives,18
 Dhankuta,,,,,,   01 - 04 Years,  Male,Employer,0
 Dhankuta,,,,,,   01 - 04 Years,  Male,Others,69
 Dhankuta,,,,,,   01 - 04 Years,  Male,Not stated,29
 Dhankuta,,,,,,   05 - 09 Years,  Male,Parents,7015
 Dhankuta,,,,,,   05 - 09 Years,  Male,Mother,1271
 Dhankuta,,,,,,   05 - 09 Years,  Male,Father,98
 Dhankuta,,,,,,   05 - 09 Years,  Male,Father and step mother,41
 Dhankuta,,,,,,   05 - 09 Years,  Male,Mother and step father,2
 Dhankuta,,,,,,   05 - 09 Years,  Male,Other relatives,106
 Dhankuta,,,,,,   05 - 09 Years,  Male,Employer,16
 Dhankuta,,,,,,   05 - 09 Years,  Male,Others,237
 Dhankuta,,,,,,   05 - 09 Years,  Male,Not stated,21
 Dhankuta,,,,,,   10 - 15 Years,  Male,Parents,9458
 Dhankuta,,,,,,   10 - 15 Years,  Male,Mother,1516
 Dhankuta,,,,,,   10 - 15 Years,  Male,Father,166
 Dhankuta,,,,,,   10 - 15 Years,  Male,Father and step mother,52
 Dhankuta,,,,,,   10 - 15 Years,  Male,Mother and step father,4
 Dhankuta,,,,,,   10 - 15 Years,  Male,Other relatives,178
 Dhankuta,,,,,,   10 - 15 Years,  Male,Employer,16
 Dhankuta,,,,,,   10 - 15 Years,  Male,Others,420
 Dhankuta,,,,,,   10 - 15 Years,  Male,Not stated,88
 Dhankuta,,,,,,   Under 1 Year,  Female,Parents,1308
 Dhankuta,,,,,,   Under 1 Year,  Female,Mother,130
 Dhankuta,,,,,,   Under 1 Year,  Female,Father,0
 Dhankuta,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Dhankuta,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Dhankuta,,,,,,   Under 1 Year,  Female,Other relatives,3
 Dhankuta,,,,,,   Under 1 Year,  Female,Employer,0
 Dhankuta,,,,,,   Under 1 Year,  Female,Others,0
 Dhankuta,,,,,,   Under 1 Year,  Female,Not stated,15
 Dhankuta,,,,,,   01 - 04 Years,  Female,Parents,4636
 Dhankuta,,,,,,   01 - 04 Years,  Female,Mother,851
 Dhankuta,,,,,,   01 - 04 Years,  Female,Father,21
 Dhankuta,,,,,,   01 - 04 Years,  Female,Father and step mother,1
 Dhankuta,,,,,,   01 - 04 Years,  Female,Mother and step father,1
 Dhankuta,,,,,,   01 - 04 Years,  Female,Other relatives,37
 Dhankuta,,,,,,   01 - 04 Years,  Female,Employer,0
 Dhankuta,,,,,,   01 - 04 Years,  Female,Others,89
 Dhankuta,,,,,,   01 - 04 Years,  Female,Not stated,32
 Dhankuta,,,,,,   05 - 09 Years,  Female,Parents,7191
 Dhankuta,,,,,,   05 - 09 Years,  Female,Mother,1274
 Dhankuta,,,,,,   05 - 09 Years,  Female,Father,82
 Dhankuta,,,,,,   05 - 09 Years,  Female,Father and step mother,27
 Dhankuta,,,,,,   05 - 09 Years,  Female,Mother and step father,2
 Dhankuta,,,,,,   05 - 09 Years,  Female,Other relatives,100
 Dhankuta,,,,,,   05 - 09 Years,  Female,Employer,2
 Dhankuta,,,,,,   05 - 09 Years,  Female,Others,227
 Dhankuta,,,,,,   05 - 09 Years,  Female,Not stated,29
 Dhankuta,,,,,,   10 - 15 Years,  Female,Parents,9297
 Dhankuta,,,,,,   10 - 15 Years,  Female,Mother,1562
 Dhankuta,,,,,,   10 - 15 Years,  Female,Father,189
 Dhankuta,,,,,,   10 - 15 Years,  Female,Father and step mother,84
 Dhankuta,,,,,,   10 - 15 Years,  Female,Mother and step father,19
 Dhankuta,,,,,,   10 - 15 Years,  Female,Other relatives,188
 Dhankuta,,,,,,   10 - 15 Years,  Female,Employer,18
 Dhankuta,,,,,,   10 - 15 Years,  Female,Others,461
 Dhankuta,,,,,,   10 - 15 Years,  Female,Not stated,74
 Terhathum,,,,,,   Under 1 Year,  Male,Parents,817
 Terhathum,,,,,,   Under 1 Year,  Male,Mother,122
 Terhathum,,,,,,   Under 1 Year,  Male,Father,0
 Terhathum,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Terhathum,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Terhathum,,,,,,   Under 1 Year,  Male,Other relatives,0
 Terhathum,,,,,,   Under 1 Year,  Male,Employer,0
 Terhathum,,,,,,   Under 1 Year,  Male,Others,15
 Terhathum,,,,,,   Under 1 Year,  Male,Not stated,8
 Terhathum,,,,,,   01 - 04 Years,  Male,Parents,2964
 Terhathum,,,,,,   01 - 04 Years,  Male,Mother,597
 Terhathum,,,,,,   01 - 04 Years,  Male,Father,23
 Terhathum,,,,,,   01 - 04 Years,  Male,Father and step mother,16
 Terhathum,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Terhathum,,,,,,   01 - 04 Years,  Male,Other relatives,8
 Terhathum,,,,,,   01 - 04 Years,  Male,Employer,0
 Terhathum,,,,,,   01 - 04 Years,  Male,Others,47
 Terhathum,,,,,,   01 - 04 Years,  Male,Not stated,23
 Terhathum,,,,,,   05 - 09 Years,  Male,Parents,4804
 Terhathum,,,,,,   05 - 09 Years,  Male,Mother,945
 Terhathum,,,,,,   05 - 09 Years,  Male,Father,65
 Terhathum,,,,,,   05 - 09 Years,  Male,Father and step mother,16
 Terhathum,,,,,,   05 - 09 Years,  Male,Mother and step father,0
 Terhathum,,,,,,   05 - 09 Years,  Male,Other relatives,48
 Terhathum,,,,,,   05 - 09 Years,  Male,Employer,0
 Terhathum,,,,,,   05 - 09 Years,  Male,Others,97
 Terhathum,,,,,,   05 - 09 Years,  Male,Not stated,24
 Terhathum,,,,,,   10 - 15 Years,  Male,Parents,6304
 Terhathum,,,,,,   10 - 15 Years,  Male,Mother,957
 Terhathum,,,,,,   10 - 15 Years,  Male,Father,72
 Terhathum,,,,,,   10 - 15 Years,  Male,Father and step mother,48
 Terhathum,,,,,,   10 - 15 Years,  Male,Mother and step father,0
 Terhathum,,,,,,   10 - 15 Years,  Male,Other relatives,56
 Terhathum,,,,,,   10 - 15 Years,  Male,Employer,0
 Terhathum,,,,,,   10 - 15 Years,  Male,Others,185
 Terhathum,,,,,,   10 - 15 Years,  Male,Not stated,16
 Terhathum,,,,,,   Under 1 Year,  Female,Parents,822
 Terhathum,,,,,,   Under 1 Year,  Female,Mother,85
 Terhathum,,,,,,   Under 1 Year,  Female,Father,0
 Terhathum,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Terhathum,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Terhathum,,,,,,   Under 1 Year,  Female,Other relatives,0
 Terhathum,,,,,,   Under 1 Year,  Female,Employer,0
 Terhathum,,,,,,   Under 1 Year,  Female,Others,8
 Terhathum,,,,,,   Under 1 Year,  Female,Not stated,0
 Terhathum,,,,,,   01 - 04 Years,  Female,Parents,3044
 Terhathum,,,,,,   01 - 04 Years,  Female,Mother,425
 Terhathum,,,,,,   01 - 04 Years,  Female,Father,16
 Terhathum,,,,,,   01 - 04 Years,  Female,Father and step mother,8
 Terhathum,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Terhathum,,,,,,   01 - 04 Years,  Female,Other relatives,8
 Terhathum,,,,,,   01 - 04 Years,  Female,Employer,0
 Terhathum,,,,,,   01 - 04 Years,  Female,Others,41
 Terhathum,,,,,,   01 - 04 Years,  Female,Not stated,8
 Terhathum,,,,,,   05 - 09 Years,  Female,Parents,4789
 Terhathum,,,,,,   05 - 09 Years,  Female,Mother,832
 Terhathum,,,,,,   05 - 09 Years,  Female,Father,33
 Terhathum,,,,,,   05 - 09 Years,  Female,Father and step mother,33
 Terhathum,,,,,,   05 - 09 Years,  Female,Mother and step father,0
 Terhathum,,,,,,   05 - 09 Years,  Female,Other relatives,65
 Terhathum,,,,,,   05 - 09 Years,  Female,Employer,8
 Terhathum,,,,,,   05 - 09 Years,  Female,Others,139
 Terhathum,,,,,,   05 - 09 Years,  Female,Not stated,24
 Terhathum,,,,,,   10 - 15 Years,  Female,Parents,6469
 Terhathum,,,,,,   10 - 15 Years,  Female,Mother,884
 Terhathum,,,,,,   10 - 15 Years,  Female,Father,97
 Terhathum,,,,,,   10 - 15 Years,  Female,Father and step mother,57
 Terhathum,,,,,,   10 - 15 Years,  Female,Mother and step father,0
 Terhathum,,,,,,   10 - 15 Years,  Female,Other relatives,65
 Terhathum,,,,,,   10 - 15 Years,  Female,Employer,0
 Terhathum,,,,,,   10 - 15 Years,  Female,Others,162
 Terhathum,,,,,,   10 - 15 Years,  Female,Not stated,81
 Sankhuwasabha,,,,,,   Under 1 Year,  Male,Parents,1419
 Sankhuwasabha,,,,,,   Under 1 Year,  Male,Mother,111
 Sankhuwasabha,,,,,,   Under 1 Year,  Male,Father,8
 Sankhuwasabha,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Sankhuwasabha,,,,,,   Under 1 Year,  Male,Mother and step father,1
 Sankhuwasabha,,,,,,   Under 1 Year,  Male,Other relatives,1
 Sankhuwasabha,,,,,,   Under 1 Year,  Male,Employer,0
 Sankhuwasabha,,,,,,   Under 1 Year,  Male,Others,17
 Sankhuwasabha,,,,,,   Under 1 Year,  Male,Not stated,8
 Sankhuwasabha,,,,,,   01 - 04 Years,  Male,Parents,5567
 Sankhuwasabha,,,,,,   01 - 04 Years,  Male,Mother,561
 Sankhuwasabha,,,,,,   01 - 04 Years,  Male,Father,11
 Sankhuwasabha,,,,,,   01 - 04 Years,  Male,Father and step mother,1
 Sankhuwasabha,,,,,,   01 - 04 Years,  Male,Mother and step father,1
 Sankhuwasabha,,,,,,   01 - 04 Years,  Male,Other relatives,11
 Sankhuwasabha,,,,,,   01 - 04 Years,  Male,Employer,0
 Sankhuwasabha,,,,,,   01 - 04 Years,  Male,Others,21
 Sankhuwasabha,,,,,,   01 - 04 Years,  Male,Not stated,16
 Sankhuwasabha,,,,,,   05 - 09 Years,  Male,Parents,8803
 Sankhuwasabha,,,,,,   05 - 09 Years,  Male,Mother,1095
 Sankhuwasabha,,,,,,   05 - 09 Years,  Male,Father,74
 Sankhuwasabha,,,,,,   05 - 09 Years,  Male,Father and step mother,56
 Sankhuwasabha,,,,,,   05 - 09 Years,  Male,Mother and step father,6
 Sankhuwasabha,,,,,,   05 - 09 Years,  Male,Other relatives,31
 Sankhuwasabha,,,,,,   05 - 09 Years,  Male,Employer,0
 Sankhuwasabha,,,,,,   05 - 09 Years,  Male,Others,196
 Sankhuwasabha,,,,,,   05 - 09 Years,  Male,Not stated,31
 Sankhuwasabha,,,,,,   10 - 15 Years,  Male,Parents,10395
 Sankhuwasabha,,,,,,   10 - 15 Years,  Male,Mother,1203
 Sankhuwasabha,,,,,,   10 - 15 Years,  Male,Father,156
 Sankhuwasabha,,,,,,   10 - 15 Years,  Male,Father and step mother,80
 Sankhuwasabha,,,,,,   10 - 15 Years,  Male,Mother and step father,16
 Sankhuwasabha,,,,,,   10 - 15 Years,  Male,Other relatives,122
 Sankhuwasabha,,,,,,   10 - 15 Years,  Male,Employer,11
 Sankhuwasabha,,,,,,   10 - 15 Years,  Male,Others,318
 Sankhuwasabha,,,,,,   10 - 15 Years,  Male,Not stated,92
 Sankhuwasabha,,,,,,   Under 1 Year,  Female,Parents,1301
 Sankhuwasabha,,,,,,   Under 1 Year,  Female,Mother,166
 Sankhuwasabha,,,,,,   Under 1 Year,  Female,Father,0
 Sankhuwasabha,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Sankhuwasabha,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Sankhuwasabha,,,,,,   Under 1 Year,  Female,Other relatives,0
 Sankhuwasabha,,,,,,   Under 1 Year,  Female,Employer,0
 Sankhuwasabha,,,,,,   Under 1 Year,  Female,Others,24
 Sankhuwasabha,,,,,,   Under 1 Year,  Female,Not stated,28
 Sankhuwasabha,,,,,,   01 - 04 Years,  Female,Parents,5329
 Sankhuwasabha,,,,,,   01 - 04 Years,  Female,Mother,558
 Sankhuwasabha,,,,,,   01 - 04 Years,  Female,Father,1
 Sankhuwasabha,,,,,,   01 - 04 Years,  Female,Father and step mother,1
 Sankhuwasabha,,,,,,   01 - 04 Years,  Female,Mother and step father,1
 Sankhuwasabha,,,,,,   01 - 04 Years,  Female,Other relatives,40
 Sankhuwasabha,,,,,,   01 - 04 Years,  Female,Employer,0
 Sankhuwasabha,,,,,,   01 - 04 Years,  Female,Others,46
 Sankhuwasabha,,,,,,   01 - 04 Years,  Female,Not stated,13
 Sankhuwasabha,,,,,,   05 - 09 Years,  Female,Parents,8560
 Sankhuwasabha,,,,,,   05 - 09 Years,  Female,Mother,1185
 Sankhuwasabha,,,,,,   05 - 09 Years,  Female,Father,56
 Sankhuwasabha,,,,,,   05 - 09 Years,  Female,Father and step mother,27
 Sankhuwasabha,,,,,,   05 - 09 Years,  Female,Mother and step father,8
 Sankhuwasabha,,,,,,   05 - 09 Years,  Female,Other relatives,86
 Sankhuwasabha,,,,,,   05 - 09 Years,  Female,Employer,0
 Sankhuwasabha,,,,,,   05 - 09 Years,  Female,Others,178
 Sankhuwasabha,,,,,,   05 - 09 Years,  Female,Not stated,31
 Sankhuwasabha,,,,,,   10 - 15 Years,  Female,Parents,10650
 Sankhuwasabha,,,,,,   10 - 15 Years,  Female,Mother,1189
 Sankhuwasabha,,,,,,   10 - 15 Years,  Female,Father,150
 Sankhuwasabha,,,,,,   10 - 15 Years,  Female,Father and step mother,48
 Sankhuwasabha,,,,,,   10 - 15 Years,  Female,Mother and step father,28
 Sankhuwasabha,,,,,,   10 - 15 Years,  Female,Other relatives,115
 Sankhuwasabha,,,,,,   10 - 15 Years,  Female,Employer,2
 Sankhuwasabha,,,,,,   10 - 15 Years,  Female,Others,309
 Sankhuwasabha,,,,,,   10 - 15 Years,  Female,Not stated,88
 Bhojpur,,,,,,   Under 1 Year,  Male,Parents,1618
 Bhojpur,,,,,,   Under 1 Year,  Male,Mother,104
 Bhojpur,,,,,,   Under 1 Year,  Male,Father,8
 Bhojpur,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Bhojpur,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Bhojpur,,,,,,   Under 1 Year,  Male,Other relatives,0
 Bhojpur,,,,,,   Under 1 Year,  Male,Employer,0
 Bhojpur,,,,,,   Under 1 Year,  Male,Others,8
 Bhojpur,,,,,,   Under 1 Year,  Male,Not stated,8
 Bhojpur,,,,,,   01 - 04 Years,  Male,Parents,6737
 Bhojpur,,,,,,   01 - 04 Years,  Male,Mother,454
 Bhojpur,,,,,,   01 - 04 Years,  Male,Father,49
 Bhojpur,,,,,,   01 - 04 Years,  Male,Father and step mother,0
 Bhojpur,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Bhojpur,,,,,,   01 - 04 Years,  Male,Other relatives,8
 Bhojpur,,,,,,   01 - 04 Years,  Male,Employer,0
 Bhojpur,,,,,,   01 - 04 Years,  Male,Others,57
 Bhojpur,,,,,,   01 - 04 Years,  Male,Not stated,24
 Bhojpur,,,,,,   05 - 09 Years,  Male,Parents,10066
 Bhojpur,,,,,,   05 - 09 Years,  Male,Mother,592
 Bhojpur,,,,,,   05 - 09 Years,  Male,Father,58
 Bhojpur,,,,,,   05 - 09 Years,  Male,Father and step mother,8
 Bhojpur,,,,,,   05 - 09 Years,  Male,Mother and step father,8
 Bhojpur,,,,,,   05 - 09 Years,  Male,Other relatives,42
 Bhojpur,,,,,,   05 - 09 Years,  Male,Employer,0
 Bhojpur,,,,,,   05 - 09 Years,  Male,Others,133
 Bhojpur,,,,,,   05 - 09 Years,  Male,Not stated,0
 Bhojpur,,,,,,   10 - 15 Years,  Male,Parents,12474
 Bhojpur,,,,,,   10 - 15 Years,  Male,Mother,893
 Bhojpur,,,,,,   10 - 15 Years,  Male,Father,213
 Bhojpur,,,,,,   10 - 15 Years,  Male,Father and step mother,82
 Bhojpur,,,,,,   10 - 15 Years,  Male,Mother and step father,33
 Bhojpur,,,,,,   10 - 15 Years,  Male,Other relatives,213
 Bhojpur,,,,,,   10 - 15 Years,  Male,Employer,16
 Bhojpur,,,,,,   10 - 15 Years,  Male,Others,352
 Bhojpur,,,,,,   10 - 15 Years,  Male,Not stated,66
 Bhojpur,,,,,,   Under 1 Year,  Female,Parents,1627
 Bhojpur,,,,,,   Under 1 Year,  Female,Mother,105
 Bhojpur,,,,,,   Under 1 Year,  Female,Father,0
 Bhojpur,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Bhojpur,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Bhojpur,,,,,,   Under 1 Year,  Female,Other relatives,0
 Bhojpur,,,,,,   Under 1 Year,  Female,Employer,0
 Bhojpur,,,,,,   Under 1 Year,  Female,Others,0
 Bhojpur,,,,,,   Under 1 Year,  Female,Not stated,17
 Bhojpur,,,,,,   01 - 04 Years,  Female,Parents,6413
 Bhojpur,,,,,,   01 - 04 Years,  Female,Mother,446
 Bhojpur,,,,,,   01 - 04 Years,  Female,Father,23
 Bhojpur,,,,,,   01 - 04 Years,  Female,Father and step mother,8
 Bhojpur,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Bhojpur,,,,,,   01 - 04 Years,  Female,Other relatives,16
 Bhojpur,,,,,,   01 - 04 Years,  Female,Employer,8
 Bhojpur,,,,,,   01 - 04 Years,  Female,Others,63
 Bhojpur,,,,,,   01 - 04 Years,  Female,Not stated,16
 Bhojpur,,,,,,   05 - 09 Years,  Female,Parents,9684
 Bhojpur,,,,,,   05 - 09 Years,  Female,Mother,598
