District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Value
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,00 - 04 Years,Length of stay not stated,39
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,05 - 09 Years,Less than 1 year,33
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,05 - 09 Years,1-5 years,166
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,05 - 09 Years,6-10 years,17
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,05 - 09 Years,More than 10 years,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,05 - 09 Years,Length of stay not stated,25
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,10 - 14 Years,Less than 1 year,33
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,10 - 14 Years,1-5 years,90
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,10 - 14 Years,6-10 years,115
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,10 - 14 Years,More than 10 years,41
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,10 - 14 Years,Length of stay not stated,25
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 19 Years,Less than 1 year,129
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 19 Years,1-5 years,290
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 19 Years,6-10 years,81
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 19 Years,More than 10 years,32
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,15 - 19 Years,Length of stay not stated,64
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,20 - 24 Years,Less than 1 year,77
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,20 - 24 Years,1-5 years,771
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,20 - 24 Years,6-10 years,278
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,20 - 24 Years,More than 10 years,69
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,20 - 24 Years,Length of stay not stated,108
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,25 - 29 Years,Less than 1 year,32
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,25 - 29 Years,1-5 years,387
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,25 - 29 Years,6-10 years,474
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Female,25 - 29 Years,More than 10 years,277
